fips,county_name,total_population,women_repro_age,pct_uninsured_women,pct_poverty,pct_no_vehicle,pct_broadband,rucc_code,rural_binary,rural_label,hpsa_score,hpsa_designated,births_1st_trimester,births_2nd_trimester,births_3rd_trimester,births_no_prenatal,births_unknown,total_births,pct_1st_trimester,pct_3rd_trimester,pct_no_prenatal,births_late_no_prenatal,pct_late_no_prenatal,has_suppressed_data,obgyn_count,obgyn_subsp_count,total_providers,providers_per_10k,region,western_nc,helene_impacted
37059,Davie,43526,28105,27.62,10.0,5.04,91.67,2,0,Metro,16.0,1,,,,,,,,,,,,,2.0,1.0,3.0,1.07,Piedmont/Coastal,0,0
37061,Duplin,49053,32448,31.94,17.9,5.76,78.86,8,1,Rural/Non-metro,21.0,1,,,,,,,,,,,,,2.0,0.0,2.0,0.62,Piedmont/Coastal,0,0
37063,Durham,329405,221755,30.96,12.0,6.91,92.82,2,0,Metro,19.0,1,27174.0,7173.0,2054.0,695.0,343.0,37439.0,72.58,5.49,1.86,2749.0,7.34,0.0,117.0,32.0,149.0,6.72,Piedmont/Coastal,0,0
37065,Edgecombe,48777,32910,28.26,21.9,10.79,77.57,3,0,Metro,23.0,1,,,,,,,,,,,,,3.0,0.0,3.0,0.91,Piedmont/Coastal,0,0
37067,Forsyth,386740,266581,32.39,14.7,6.39,89.19,2,0,Metro,19.0,1,30073.0,6129.0,1804.0,1484.0,268.0,39758.0,75.64,4.54,3.73,3288.0,8.27,0.0,100.0,20.0,120.0,4.5,Piedmont/Coastal,0,0
37069,Franklin,71962,46582,29.37,10.1,3.57,87.65,1,0,Metro,16.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37071,Gaston,231485,153678,29.7,12.8,5.31,87.18,1,0,Metro,14.0,1,17319.0,4559.0,1034.0,875.0,172.0,23959.0,72.29,4.32,3.65,1909.0,7.97,0.0,16.0,3.0,19.0,1.24,Piedmont/Coastal,0,0
37073,Gates,10437,6901,28.56,11.8,3.11,74.28,1,0,Metro,19.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37075,Graham,8041,5066,27.97,8.7,8.97,80.68,9,1,Rural/Non-metro,17.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Western NC,1,0
37077,Granville,61439,38143,28.75,14.1,3.46,88.78,6,1,Rural/Non-metro,16.0,1,,,,,,,,,,,,,8.0,0.0,8.0,2.1,Piedmont/Coastal,0,0
37079,Greene,20421,11170,28.69,22.4,5.78,80.43,8,1,Rural/Non-metro,22.0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Piedmont/Coastal,0,0
37081,Guilford,542987,378291,33.68,15.2,6.79,89.31,2,0,Metro,19.0,1,36631.0,12418.0,3359.0,999.0,223.0,53630.0,68.3,6.26,1.86,4358.0,8.13,0.0,78.0,7.0,85.0,2.25,Piedmont/Coastal,0,0
