fips,county_name,region,western_nc,helene_impacted,pct_uninsured_women,pct_poverty,providers_per_10k,pct_uninsured_women_norm,pct_poverty_norm,providers_per_10k_norm,burden_index,burden_tier
37121,Mitchell,Western NC,1,1,24.53,13.0,0.0,0.21852731591448926,0.3361344537815126,1.0,0.5182,Low Burden
37199,Yancey,Western NC,1,1,24.36,14.9,0.86,0.21179730799683283,0.41596638655462187,0.9201485608170845,0.516,Low Burden
37011,Avery,Western NC,1,0,25.95,11.0,0.0,0.2747426761678543,0.25210084033613445,1.0,0.5089,Low Burden
37111,McDowell,Western NC,1,1,26.86,14.0,1.79,0.31076801266825005,0.3781512605042016,0.8337975858867224,0.5076,Low Burden
37067,Forsyth,Piedmont/Coastal,0,0,32.39,14.7,4.5,0.529691211401425,0.407563025210084,0.5821727019498607,0.5065,Low Burden
37075,Graham,Western NC,1,0,27.97,8.7,0.0,0.35471100554235935,0.15546218487394953,1.0,0.5034,Low Burden
37041,Chowan,Piedmont/Coastal,0,0,23.31,20.5,3.48,0.17022961203483755,0.6512605042016806,0.6768802228412256,0.4995,Low Burden
37009,Ashe,Western NC,1,0,23.18,14.1,0.6,0.16508313539192399,0.3823529411764705,0.9442896935933147,0.4972,Low Burden
37053,Currituck,Piedmont/Coastal,0,0,28.52,7.6,0.0,0.3764845605700712,0.1092436974789916,1.0,0.4952,Low Burden
37143,Perquimans,Piedmont/Coastal,0,0,24.35,11.4,0.0,0.2114014251781473,0.2689075630252101,1.0,0.4934,Low Burden
37113,Macon,Western NC,1,0,24.72,14.4,1.7,0.22604908946951696,0.3949579831932773,0.8421541318477251,0.4877,Low Burden
37109,Lincoln,Piedmont/Coastal,0,0,27.92,9.0,0.69,0.3527315914489312,0.16806722689075632,0.935933147632312,0.4856,Low Burden
37059,Davie,Piedmont/Coastal,0,0,27.62,10.0,1.07,0.34085510688836107,0.21008403361344535,0.9006499535747446,0.4839,Low Burden
37039,Cherokee,Western NC,1,0,21.32,14.6,0.56,0.09144893111638952,0.4033613445378151,0.9480037140204272,0.4809,Low Burden
37149,Polk,Western NC,1,0,20.86,13.7,0.0,0.07323832145684872,0.36554621848739494,1.0,0.4796,Low Burden
